Code,Open,High,Low,Close,Volume,Datetime
KRW-WAXP,255,256,254,254,108524.73655867,2021-03-21T01:18:00Z
KRW-WAXP,254,256,254,255,88783.0029269,2021-03-21T01:21:00Z
KRW-WAXP,256,257,255,256,187141.25566813,2021-03-21T01:24:00Z
KRW-WAXP,256,257,255,257,129179.67527239,2021-03-21T01:27:00Z
KRW-WAXP,257,257,255,255,191120.6852809,2021-03-21T01:30:00Z
KRW-WAXP,255,256,254,255,141965.81712175,2021-03-21T01:33:00Z
KRW-WAXP,255,257,254,255,200801.52984635,2021-03-21T01:36:00Z
KRW-WAXP,255,256,254,255,79801.01994591,2021-03-21T01:39:00Z
KRW-WAXP,255,257,254,256,161022.26217744,2021-03-21T01:42:00Z
KRW-WAXP,256,257,254,255,100952.18485456,2021-03-21T01:45:00Z
KRW-WAXP,257,257,255,255,206981.7730276,2021-03-21T01:48:00Z
KRW-WAXP,255,256,254,254,159740.09984178,2021-03-21T01:51:00Z
KRW-WAXP,255,257,255,256,41840.10564788,2021-03-21T01:54:00Z
KRW-WAXP,256,257,255,256,45265.42735954,2021-03-21T01:57:00Z
KRW-WAXP,256,256,255,255,50384.17520504,2021-03-21T02:00:00Z
KRW-WAXP,256,257,255,256,81383.69734311,2021-03-21T02:03:00Z
KRW-WAXP,256,256,248,250,1183081.85943181,2021-03-21T02:06:00Z
KRW-WAXP,250,250,247,249,424110.38593242,2021-03-21T02:09:00Z
KRW-WAXP,249,250,248,249,165103.06134568,2021-03-21T02:12:00Z
KRW-WAXP,249,251,248,250,214770.98356245,2021-03-21T02:15:00Z
KRW-WAXP,250,255,250,254,361913.30559863,2021-03-21T02:18:00Z
KRW-WAXP,253,253,251,251,162133.57424119,2021-03-21T02:21:00Z
KRW-WAXP,251,252,250,250,138472.15226596,2021-03-21T02:24:00Z
KRW-WAXP,251,251,245,246,667678.762078,2021-03-21T02:27:00Z
KRW-WAXP,245,246,239,239,1408192.08558067,2021-03-21T02:30:00Z
KRW-WAXP,239,243,238,241,501602.55515558,2021-03-21T02:33:00Z
KRW-WAXP,241,245,241,244,386184.14155632,2021-03-21T02:36:00Z
KRW-WAXP,244,245,243,244,305401.49644629,2021-03-21T02:39:00Z
KRW-WAXP,244,245,243,244,263647.38493663,2021-03-21T02:42:00Z
KRW-WAXP,244,248,243,244,215137.60533682,2021-03-21T02:45:00Z
KRW-WAXP,244,246,243,246,112548.1282865,2021-03-21T02:48:00Z
KRW-WAXP,246,246,244,245,112197.0399553,2021-03-21T02:51:00Z
KRW-WAXP,245,246,243,246,248685.79666782,2021-03-21T02:54:00Z
KRW-WAXP,245,248,245,247,124551.69385789,2021-03-21T02:57:00Z
KRW-WAXP,247,248,246,247,86508.37217406,2021-03-21T03:00:00Z
KRW-WAXP,248,249,247,249,90128.16539767,2021-03-21T03:03:00Z
KRW-WAXP,249,250,248,249,44701.23685284,2021-03-21T03:06:00Z
KRW-WAXP,249,251,249,250,78884.41868682,2021-03-21T03:09:00Z
KRW-WAXP,250,251,249,250,112158.74398222,2021-03-21T03:12:00Z
KRW-WAXP,250,250,249,250,78970.52231074,2021-03-21T03:15:00Z
KRW-WAXP,250,250,247,247,286226.4141611,2021-03-21T03:18:00Z
KRW-WAXP,248,249,245,245,75604.5866099,2021-03-21T03:21:00Z
KRW-WAXP,245,247,245,246,202860.65375883,2021-03-21T03:24:00Z
KRW-WAXP,246,248,246,248,46354.98135183,2021-03-21T03:27:00Z
KRW-WAXP,247,249,247,249,85606.80182729,2021-03-21T03:30:00Z
KRW-WAXP,249,249,248,248,75763.25810077,2021-03-21T03:33:00Z
KRW-WAXP,248,249,247,248,105781.14818235,2021-03-21T03:36:00Z
KRW-WAXP,248,249,246,247,77222.80084875,2021-03-21T03:39:00Z
KRW-WAXP,248,249,248,249,3537.08916062,2021-03-21T03:42:00Z
